<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
US1.BA,D,220121,000000,205.7900000,381819
US1.BA,D,250121,000000,203.3600000,361556
US1.BA,D,260121,000000,202.0000000,294044
US1.BA,D,270121,000000,194.0700000,644232
US1.BA,D,280121,000000,197.2200000,368493
US1.BA,D,290121,000000,194.2000000,446903
US1.BA,D,010221,000000,195.6800000,332544
US1.BA,D,020221,000000,201.0300000,410697
US1.BA,D,030221,000000,207.4100000,534985
US1.BA,D,040221,000000,210.6500000,567266
US1.BA,D,050221,000000,207.9200000,366140
US1.BA,D,080221,000000,211.9400000,481712
US1.BA,D,090221,000000,215.1500000,566362
US1.BA,D,100221,000000,211.9000000,425525
US1.BA,D,110221,000000,210.5300000,294068
US1.BA,D,120221,000000,210.9700000,239497
US1.BA,D,160221,000000,217.1700000,357801
US1.BA,D,170221,000000,215.4800000,347059
US1.BA,D,180221,000000,208.4600000,373508
US1.BA,D,190221,000000,217.4700000,584333
US1.BA,D,220221,000000,212.8800000,802162
US1.BA,D,230221,000000,211.9700000,714151
US1.BA,D,240221,000000,229.5500000,1220684
US1.BA,D,250221,000000,216.5000000,762121
US1.BA,D,260221,000000,212.0000000,496110
US1.BA,D,010321,000000,224.3700000,578514
US1.BA,D,020321,000000,223.0900000,390542
US1.BA,D,030321,000000,228.4800000,1046654
US1.BA,D,040321,000000,224.7000000,892105
US1.BA,D,050321,000000,223.1300000,578678
US1.BA,D,080321,000000,223.9000000,406937
US1.BA,D,090321,000000,230.6100000,633643
US1.BA,D,100321,000000,245.3000000,1014390
US1.BA,D,110321,000000,252.0600000,920620
US1.BA,D,120321,000000,269.1000000,1244789
US1.BA,D,150321,000000,265.5700000,910391
US1.BA,D,160321,000000,255.2900000,844073
US1.BA,D,170321,000000,263.5200000,665012
US1.BA,D,180321,000000,256.1600000,806261
US1.BA,D,190321,000000,255.8200000,466629
US1.BA,D,220321,000000,251.1900000,359384
US1.BA,D,230321,000000,241.3200000,580309
US1.BA,D,240321,000000,239.1600000,558175
US1.BA,D,250321,000000,247.3700000,787948
US1.BA,D,260321,000000,245.0000000,532277
US1.BA,D,290321,000000,250.7300000,465862
US1.BA,D,300321,000000,251.9000000,244569
US1.BA,D,310321,000000,254.6200000,499191
US1.BA,D,010421,000000,252.9800000,343568
US1.BA,D,050421,000000,259.4150000,406846
US1.BA,D,060421,000000,255.1900000,311927
US1.BA,D,070421,000000,252.5500000,251218
US1.BA,D,080421,000000,254.8600000,296448
US1.BA,D,090421,000000,252.2700000,402282
US1.BA,D,120421,000000,249.5700000,273519
US1.BA,D,130421,000000,253.1900000,495213
US1.BA,D,140421,000000,252.3800000,473471
US1.BA,D,150421,000000,251.2100000,279863
US1.BA,D,160421,000000,248.1900000,403560
US1.BA,D,190421,000000,244.1100000,284673
US1.BA,D,200421,000000,234.0900000,585451
US1.BA,D,210421,000000,235.9200000,408877
US1.BA,D,220421,000000,234.3300000,452519
US1.BA,D,230421,000000,238.4200000,502121
US1.BA,D,260421,000000,241.3900000,343012
US1.BA,D,270421,000000,242.1800000,322450
US1.BA,D,280421,000000,235.4900000,550422
US1.BA,D,290421,000000,235.8600000,386768
US1.BA,D,300421,000000,234.3700000,403201
US1.BA,D,030521,000000,235.1700000,366667
US1.BA,D,040521,000000,233.7000000,486184
US1.BA,D,050521,000000,228.0750000,350798
US1.BA,D,060521,000000,229.8800000,279913
US1.BA,D,070521,000000,235.4800000,406423
US1.BA,D,100521,000000,232.9550000,505673
US1.BA,D,110521,000000,228.8500000,397817
US1.BA,D,120521,000000,220.7800000,442910
US1.BA,D,130521,000000,222.6450000,559947
US1.BA,D,140521,000000,228.4300000,413778
US1.BA,D,170521,000000,227.9900000,354253
US1.BA,D,180521,000000,227.5100000,308173
