<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MGNT,D,100820,000000,4613.5000000,263586
MGNT,D,110820,000000,4622.0000000,368984
MGNT,D,120820,000000,4619.5000000,343556
MGNT,D,130820,000000,4738.5000000,509353
MGNT,D,140820,000000,4763.5000000,561231
MGNT,D,170820,000000,4688.0000000,518607
MGNT,D,180820,000000,4690.5000000,321094
MGNT,D,190820,000000,4671.5000000,252837
MGNT,D,200820,000000,4561.5000000,533803
MGNT,D,210820,000000,4523.0000000,368723
MGNT,D,240820,000000,4608.0000000,335463
MGNT,D,250820,000000,4642.5000000,473599
MGNT,D,260820,000000,4666.0000000,302374
MGNT,D,270820,000000,4728.0000000,422233
MGNT,D,280820,000000,4581.5000000,481042
MGNT,D,310820,000000,4474.5000000,468217
MGNT,D,010920,000000,4497.5000000,556547
MGNT,D,020920,000000,4564.5000000,518184
MGNT,D,030920,000000,4565.0000000,274496
MGNT,D,040920,000000,4590.5000000,251453
MGNT,D,070920,000000,4558.5000000,150741
MGNT,D,080920,000000,4535.0000000,312059
MGNT,D,090920,000000,4456.0000000,279467
MGNT,D,100920,000000,4475.0000000,217757
MGNT,D,110920,000000,4663.5000000,322222
MGNT,D,140920,000000,4671.5000000,458729
MGNT,D,150920,000000,4724.5000000,382678
MGNT,D,160920,000000,4710.0000000,274442
MGNT,D,170920,000000,4863.0000000,787198
MGNT,D,180920,000000,4805.0000000,394972
MGNT,D,210920,000000,4772.5000000,468255
MGNT,D,220920,000000,4962.0000000,654074
MGNT,D,230920,000000,4989.5000000,762604
MGNT,D,240920,000000,5057.0000000,584374
MGNT,D,250920,000000,5025.0000000,484960
MGNT,D,280920,000000,5080.0000000,347077
MGNT,D,290920,000000,4965.5000000,492171
MGNT,D,300920,000000,4956.0000000,440560
MGNT,D,011020,000000,4896.0000000,419660
MGNT,D,021020,000000,4906.5000000,308123
MGNT,D,051020,000000,4895.0000000,323020
MGNT,D,061020,000000,4879.0000000,214699
MGNT,D,071020,000000,4766.5000000,603324
MGNT,D,081020,000000,4722.0000000,389157
MGNT,D,091020,000000,4690.5000000,330711
MGNT,D,121020,000000,4859.0000000,428179
MGNT,D,131020,000000,4837.0000000,448933
MGNT,D,141020,000000,4912.0000000,369365
MGNT,D,151020,000000,4741.0000000,357136
MGNT,D,161020,000000,4782.0000000,358808
MGNT,D,191020,000000,4914.5000000,441176
MGNT,D,201020,000000,4910.5000000,506574
MGNT,D,211020,000000,4863.0000000,267046
MGNT,D,221020,000000,4900.5000000,212813
MGNT,D,231020,000000,4855.5000000,176391
MGNT,D,261020,000000,4799.5000000,254788
MGNT,D,271020,000000,4784.0000000,263856
MGNT,D,281020,000000,4702.0000000,403906
MGNT,D,291020,000000,4659.0000000,603634
MGNT,D,301020,000000,4706.0000000,356991
MGNT,D,021120,000000,4829.0000000,291287
MGNT,D,031120,000000,4770.0000000,415512
MGNT,D,051120,000000,4741.5000000,344948
MGNT,D,061120,000000,4796.0000000,400139
MGNT,D,091120,000000,4893.5000000,487087
MGNT,D,101120,000000,4945.0000000,333565
MGNT,D,111120,000000,4780.0000000,523010
MGNT,D,121120,000000,4910.0000000,478098
MGNT,D,131120,000000,4932.0000000,251469
MGNT,D,161120,000000,4982.0000000,396031
MGNT,D,171120,000000,4891.5000000,319977
MGNT,D,181120,000000,4980.0000000,442458
MGNT,D,191120,000000,5012.5000000,632419
MGNT,D,201120,000000,4933.0000000,390445
MGNT,D,231120,000000,4945.0000000,366980
MGNT,D,241120,000000,4910.0000000,319868
MGNT,D,251120,000000,4891.5000000,555502
MGNT,D,261120,000000,4971.5000000,309192
MGNT,D,271120,000000,4985.5000000,272493
MGNT,D,301120,000000,4979.0000000,303833
MGNT,D,011220,000000,5019.5000000,290875
MGNT,D,021220,000000,4995.0000000,232363
MGNT,D,031220,000000,5008.0000000,485355
MGNT,D,041220,000000,4992.5000000,151598
MGNT,D,071220,000000,5008.0000000,202118
MGNT,D,081220,000000,5040.5000000,282800
MGNT,D,091220,000000,5384.0000000,1358687
MGNT,D,101220,000000,5384.5000000,908425
MGNT,D,111220,000000,5381.0000000,309310
MGNT,D,141220,000000,5512.0000000,574282
MGNT,D,151220,000000,5494.0000000,306982
MGNT,D,161220,000000,5432.0000000,324675
MGNT,D,171220,000000,5421.0000000,382297
MGNT,D,181220,000000,5449.0000000,332646
MGNT,D,211220,000000,5362.0000000,571561
MGNT,D,221220,000000,5346.0000000,283565
MGNT,D,231220,000000,5356.0000000,272274
MGNT,D,241220,000000,5424.5000000,260208
MGNT,D,251220,000000,5474.5000000,179783
MGNT,D,281220,000000,5599.0000000,368382
MGNT,D,291220,000000,5643.0000000,425425
MGNT,D,301220,000000,5685.5000000,424833
MGNT,D,040121,000000,5744.0000000,389580
MGNT,D,050121,000000,5762.5000000,523336
MGNT,D,060121,000000,5534.0000000,748238
MGNT,D,080121,000000,5478.0000000,685315
MGNT,D,110121,000000,5484.5000000,381305
MGNT,D,120121,000000,5450.5000000,384309
MGNT,D,130121,000000,5410.0000000,292518
MGNT,D,140121,000000,5375.5000000,284274
MGNT,D,150121,000000,5210.0000000,1082136
MGNT,D,180121,000000,5219.0000000,558907
MGNT,D,190121,000000,5183.5000000,443464
MGNT,D,200121,000000,5161.5000000,496304
MGNT,D,210121,000000,5060.0000000,553023
MGNT,D,220121,000000,4991.0000000,706032
MGNT,D,250121,000000,5168.5000000,751937
MGNT,D,260121,000000,5175.0000000,461057
MGNT,D,270121,000000,5087.5000000,406595
MGNT,D,280121,000000,5060.0000000,394757
MGNT,D,290121,000000,4924.0000000,551594
MGNT,D,010221,000000,4948.5000000,490220
MGNT,D,020221,000000,5014.5000000,716539
MGNT,D,030221,000000,5048.5000000,394810
MGNT,D,040221,000000,5062.5000000,731022
MGNT,D,050221,000000,4996.0000000,511451
MGNT,D,080221,000000,5107.5000000,554832
MGNT,D,090221,000000,5273.0000000,870072
MGNT,D,100221,000000,5197.0000000,542689
MGNT,D,110221,000000,5117.5000000,496228
MGNT,D,120221,000000,5169.0000000,493207
MGNT,D,150221,000000,5280.0000000,556501
MGNT,D,160221,000000,5297.5000000,473145
MGNT,D,170221,000000,5260.0000000,538090
MGNT,D,180221,000000,5155.5000000,762248
MGNT,D,190221,000000,5172.5000000,383471
MGNT,D,200221,000000,5149.5000000,33555
MGNT,D,220221,000000,5098.0000000,271104
MGNT,D,240221,000000,5008.0000000,546134
MGNT,D,250221,000000,4919.5000000,713489
MGNT,D,260221,000000,4929.0000000,458905
MGNT,D,010321,000000,4970.5000000,345421
MGNT,D,020321,000000,5068.5000000,393648
MGNT,D,030321,000000,5030.0000000,466695
